No.,No. 2,Description,Price EXW,Description 2,Inventory,Net Change,Unit Price,Unit Price Including VAT,Unit Cost,Profit %,Base Unit of Measure,Blocked,Division Code,Item Category Code,Recipe Item Type,Barcode No.,BRANDS,Gen. Prod. Posting Group,Transfer Posting Group,Inventory Posting Group,Division Description,Item Category Description,Retail Product Code,DisCountinue,Unit Cost1,Retail Product Description,Qty. Onhand at Date,VAT Bus. Posting Gr. (Price),Date Created,Created by User,Last DateTime Modified,Last Modified by User,Gross Weight,Net Weight,No Discount Allowed,Price Includes VAT
100-1,31128000000001,سماعة بلوتوث شكل كورة,0.20,bluetooth speaker,-22.,-22.,0.20,0.20,10.48,"-5,926.",PCS,FALSE,SAMPLE,SAMPLE, ,3112800000001,AL RIMAYA,PRODUCT,TRANSFER,INV,SAMPLE,SAMPLE,SAMPLE,TRUE,10.48,SAMPLE,-22.,VAT,14/3/2019,ZAIDG\RITD013,28/06/26 07:26:01,30570,0.,0.,FALSE,TRUE
100-2,31128000000002,باور بنك ( شاحن متنقل للجوال ),0.00,powerbank,0.,0.,40.00,40.00,32.00,8.,PCS,TRUE,ELECTRIC,MOBILE ACC, ,3112800000002,AL RIMAYA,PRODUCT,TRANSFER,INV,Electric,Mobile Accessories,POWER BANK,TRUE,32.00,POWER BANK,0.,VAT,13/3/2019,ZAIDG\RITD013,18/02/26 14:14:45,30485,0.,0.,FALSE,TRUE
100-3,31128000000003,راس وعل محنط 100/3,0.00,راس وعل محنط 100/3,0.,0.,"3,835.00","3,835.00",700.00,79.00913,PCS,TRUE,FURNITURE,DECOR, ,3112800000003,AL RIMAYA,PRODUCT,TRANSFER,INV,Furniture,Faux Animal Heads,FAUX ANIMA,TRUE,700.00,Faux Animal Heads,0.,VAT,28/4/2019,ZAIDG\RITD013,03/12/25 09:52:51,35762,0.,0.,FALSE,TRUE
100-4,31128000000004,راس وعل محنط 100/4,0.00,راس وعل محنط 100/4,0.,0.,"3,285.00","3,285.00",700.00,75.49467,PCS,FALSE,FURNITURE,DECOR, ,3112800000004,AL RIMAYA,PRODUCT,TRANSFER,INV,Furniture,Faux Animal Heads,FAUX ANIMA,TRUE,700.00,Faux Animal Heads,0.,VAT,28/4/2019,ZAIDG\RITD013,23/07/24 15:20:41,24552,0.,0.,FALSE,TRUE
100-5,31128000000005,راس وعل محنط 100/5,0.00,راس وعل محنط 100/5,0.,0.,"2,410.00","2,410.00",500.00,76.14108,PCS,TRUE,FURNITURE,DECOR, ,3112800000005,AL RIMAYA,PRODUCT,TRANSFER,INV,Furniture,Faux Animal Heads,FAUX ANIMA,TRUE,500.00,Faux Animal Heads,0.,VAT,28/4/2019,ZAIDG\RITD013,03/12/25 09:52:51,35762,0.,0.,FALSE,TRUE
100-6,31128000000006,راس وعل محنط 100/6,0.00,راس وعل محنط 100/6,0.,0.,"1,645.00","1,645.00",500.00,65.04559,PCS,FALSE,FURNITURE,DECOR, ,3112800000006,AL RIMAYA,PRODUCT,TRANSFER,INV,Furniture,Faux Animal Heads,FAUX ANIMA,TRUE,500.00,Faux Animal Heads,0.,VAT,28/4/2019,ZAIDG\RITD013,23/07/24 15:20:41,24552,0.,0.,FALSE,TRUE
10-116,31110000000077,مدسل عادى,0.00,SUBOOK,0.,0.,10.00,10.00,3.99,54.115,PCS,TRUE,MISCELLANE,MISCELLANE, ,3111000000077,AL RIMAYA,PRODUCT,TRANSFER,INV,Miscellaneous,Miscellaneous,CLEANER,TRUE,3.99,CLEANER ITEMS,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:51,35762,0.,0.,FALSE,TRUE
10-117,31110000000078,صبوق,0.00,SUBOOK,0.,0.,12.00,12.00,0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,3111000000078,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:51,35762,0.,0.,FALSE,TRUE
10-122,31110000000083,دوار,0.00,RING,0.,0.,2.00,2.00,0.90,48.25,PCS,TRUE,HUNTING,FALCONRY, ,3111000000083,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.90,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:51,35762,0.,0.,FALSE,TRUE
10-130,31110000000089,صفرا,0.00,SUFRA,1.,1.,1.00,1.00,0.75,13.75,PCS,FALSE,HUNTING,FALCONRY, ,10130,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.75,Falcons,1.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-159,31110000000117,شبك حمام,0.00,SHABALKKA,1.,1.,5.00,5.00,0.00,0.,PCS,FALSE,HUNTING,FALCONRY, ,10159,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,1.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-16,31110000000011,خف,0.00,FOOT COVER,0.,0.,50.00,50.00,113.05,-160.015,PCS,TRUE,HUNTING,FALCONRY, ,1016,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,113.05,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-163,31110000000121,شبك أخضر,0.00,SHABBAKKA,0.,0.,115.00,115.00,0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,10163,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-174,31110000000124,مدور طير ذهبي,0.00,KC HOOK GOLD,0.,0.,2.00,2.00,0.48,72.4,PCS,TRUE,HUNTING,FALCONRY, ,10174,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.48,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-175,31110000000125,مدور مربط طير ذهبي,0.00,KCHOOD SILVER,0.,0.,2.00,2.00,0.25,85.625,PCS,TRUE,HUNTING,FALCONRY, ,10175,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.25,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-176,31110000000126,مدور طير ذهبي,0.00,BUCKLE GOLD,0.,0.,2.00,2.00,0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,10176,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,14/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-177,31110000000127,مدور طير فضي,0.00,BUCKLE SILVER,0.,0.,2.00,2.00,0.98,43.65,PCS,TRUE,HUNTING,FALCONRY, ,10177,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.98,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-181,31110000000131,وكر المنيوم,0.00,WAKKER COLOUR,0.,0.,65.00,65.00,31.24,44.72923,PCS,TRUE,HUNTING,FALCONRY, ,10181,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,31.24,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-188,31110000000138,دس,0.00,GLOVES DUBAI,0.,0.,35.00,35.00,0.00,0.,PCS,TRUE,HUNTING,HUNTING, ,10188,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Hunting,GAITERS,TRUE,0.00,GAITERS,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-191,31110000000141,صفرا,0.00,SAFARA DUBAI,114.,114.,1.00,1.00,1.60,-84.,PCS,FALSE,HUNTING,FALCONRY, ,10191,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,1.60,Falcons,114.,VAT,13/3/2019,ZAIDG\RITD013,10/12/25 09:33:52,30220,0.,0.,FALSE,TRUE
10-210,31110000000160,جهاز  mp3,0.00,MP3 PLAYER,2.,2.,153.00,153.00,73.45,44.79248,PCS,FALSE,HUNTING,BIRDS CALL, ,10210,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,73.45,Mp3,2.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-211,31110000000162,جهاز  mp3,0.00,BIRD CALLER,0.,0.,400.00,400.00,230.57,33.71113,PCS,FALSE,HUNTING,BIRDS CALL, ,10211,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,230.57,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-212,31110000000163,دس صقور,0.00,FOLCON GLOVES,0.,0.,25.00,25.00,22.72,-4.512,PCS,TRUE,HUNTING,FALCONRY, ,10212,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,22.72,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-213,31110000000164,دس صقور,0.00,FOLCON GLOVES,2.,2.,12.00,12.00,13.82,-32.44167,PCS,FALSE,HUNTING,FALCONRY, ,10213,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,13.82,Falcons,2.,VAT,14/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-214,31110000000165,برقع  صقر,0.00,FOLCON HOODS,0.,0.,25.00,25.00,0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,10214,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-215,31110000000166,سبوق طير,0.00,FALCON SYBOOK,0.,0.,25.00,25.00,14.00,35.6,PCS,TRUE,HUNTING,FALCONRY, ,10215,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,14.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-217,31110000000168,جهاز  mp3,0.00,DIGITAL SOUND REPRODUCER TROMBA 10 CALLS,0.,0.,657.00,657.00,479.10,16.13927,PCS,TRUE,HUNTING,BIRDS CALL, ,3111000000168,TECHNO EST,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,479.10,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-218,31110000000169,سماعة جهاز  mp3,0.00,TROMBA CL,0.,0.,485.00,485.00,0.00,0.,PCS,TRUE,HUNTING,BIRDS CALL, ,3111000000169,TECHNO EST,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,0.00,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-219,31110000000170,دس صقور,0.00,FOLCON GLOVES,1.,1.,40.00,40.00,46.19,-32.79625,PCS,FALSE,HUNTING,FALCONRY, ,10219,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,46.19,Falcons,1.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-220,31110000000171,بطارية,0.00,BATTERY CP-350,0.,0.,30.00,30.00,9.92,61.97333,PCS,TRUE,HUNTING,FALCONRY, ,10220,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,9.92,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-221,31110000000172,جهاز mp3,0.00,BIRD CALLER WITH TIMER AND 2 SPEAKER FOR 50W,0.,0.,618.00,618.00,298.41,44.47063,PCS,FALSE,HUNTING,BIRDS CALL, ,10221,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,298.41,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-222,31110000000173,جهاز mp3,0.00,BIRD CALLER WITH REMOTE AND TIMER,0.,0.,225.00,225.00,157.28,19.61244,PCS,FALSE,HUNTING,BIRDS CALL, ,10222,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,157.28,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-223,31110000000174,سماعة جهاز mp3,0.00,TROMBA CL AL440,0.,0.,127.00,127.00,90.59,17.96969,PCS,TRUE,HUNTING,BIRDS CALL, ,3111000000174,TECHNO EST,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,90.59,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-224,31110000000175,جهاز  mp3,0.00,BIRD CALLER,0.,0.,515.00,515.00,330.87,26.11641,PCS,FALSE,HUNTING,BIRDS CALL, ,10224,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,330.87,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-225,31110000000176,سماعة  جهاز mp3,0.00,SPEAKER 50W,6.,6.,102.00,102.00,88.68,0.01765,PCS,FALSE,HUNTING,BIRDS CALL, ,10225,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,88.68,Mp3,6.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:20:42,24552,0.,0.,FALSE,TRUE
10-226,31110000000177,جهاز mp3,0.00,BIRD CALLER,0.,0.,147.00,147.00,88.21,30.99218,PCS,TRUE,HUNTING,BIRDS CALL, ,10226,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,88.21,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-227,31110000000178,جهاز mp3,0.00,BIRD CALLER,0.,0.,367.00,367.00,333.25,-4.42439,PCS,TRUE,HUNTING,BIRDS CALL, ,10227,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Birds callers,MP3 BIRDS,TRUE,333.25,Mp3,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-228,10-228,ريشة طير جايقر 216,0.00,ريشة طير جايقر 216,0.,0.,945.00,945.00,616.309,24.99943,PCS,TRUE,CAMPING,TOOLS, ,10228,AL RIMAYA,PRODUCT,TRANSFER,INV,Camping,Tools,AXE TOOLS,TRUE,616.309,Axe,0.,VAT,8/10/2020,ZAIDG\RSTR104,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-229,10-229,جهاز تتبع  جايقر,0.00,جهاز تتبع  جايقر,0.,0.,"2,980.00","2,980.00","1,943.49",24.99955,PCS,TRUE,CAMPING,TOOLS, ,10229,AL RIMAYA,PRODUCT,TRANSFER,INV,Camping,Tools,AXE TOOLS,TRUE,"1,943.49",Axe,0.,VAT,8/10/2020,ZAIDG\RSTR104,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-230,10-230,غطاء ريشة جايقر ملون,0.00,غطاء ريشة جايقر ملون,0.,0.,40.00,40.00,49.00,-40.875,PCS,TRUE,CAMPING,TOOLS, ,10230,AL RIMAYA,PRODUCT,TRANSFER,INV,Camping,Tools,AXE TOOLS,TRUE,49.00,Axe,0.,VAT,8/10/2020,ZAIDG\RSTR104,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-36,31110000000026,صفارة,0.00,TC-3 TURKEY CALL,0.,0.,25.00,25.00,12.75,41.35,PCS,TRUE,HUNTING,FALCONRY, ,1036,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,12.75,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-50,31110000000033,ريشة,0.00,TRANSMEETER,0.,0.,980.00,980.00,"1,173.50",-37.70663,PCS,TRUE,HUNTING,FALCONRY, ,1050,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,"1,173.50",Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-51,31110000000034,صفرا,0.00,SURFA,0.,0.,15.00,15.00,0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,1051,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-53,31110000000036,جهاز تتبع صقور 5 طيور أمريكي,0.00,FIELD MARSHELL,0.,0.,"1,437.00","1,437.00","4,145.90",-231.7874,PCS,TRUE,HUNTING,FALCONRY, ,1053,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,"4,145.90",Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-6,31110000000002,بطارية كبيرة Eng 2L 76-3v,0.00,BATTERY,0.,0.,25.00,25.00,0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,106,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-66,31110000000046,مربط طير,0.00,1016 SWIVEL LARGE,0.,0.,45.00,45.00,0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,1066,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-67,31110000000047,وكر,0.00,1018 BLACK WITH SS,0.,0.,125.00,125.00,173.04,-59.1968,PCS,TRUE,HUNTING,FALCONRY, ,1067,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,173.04,Falcons,0.,VAT,14/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-68,31110000000048,ملواح,0.00,1021 LURE,0.,0.,45.00,45.00,0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,1068,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-71,31110000000051,سبوق طير,0.00,1027 KANGARO LEASHES,0.,0.,25.00,25.00,20.02,7.908,PCS,TRUE,HUNTING,FALCONRY, ,1071,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,20.02,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
10-73,31110000000052,جهاز تتبع صقور 3 طيور,0.00,RT. CONTRA TRANSMITER,0.,0.,"1,380.00","1,380.00",0.00,0.,PCS,TRUE,HUNTING,FALCONRY, ,1073,AL RIMAYA,PRODUCT,TRANSFER,INV,Hunting,Falconry,FALCONS FA,TRUE,0.00,Falcons,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
1-100,6110013-BS13,بندقية جامو بلاك شادو    4.5 ,0.00,GAMO BLACK SHADOW 4.5 CAL,108.,108.,"1,100.00","1,100.00",316.213,66.94137,PCS,FALSE,GUNS,AIR RIFLES, ,793676052809,GAMO,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,FALSE,316.213,Break Barrel,108.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:29:04,30485,0.,0.,FALSE,TRUE
1-101,6110009-FO13,بندقية جامو فوريست 4.5,0.00,GAMO FOREST 4.5 CAL,168.,168.,"1,200.00","1,200.00",360.356,65.46588,PCS,FALSE,GUNS,AIR RIFLES, ,793676052816,GAMO,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,FALSE,360.356,Break Barrel,168.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:29:04,30485,0.,0.,FALSE,TRUE
1-109,31101000000079,جامو أسباني شادو  1000  -5.5),0.00,"SHADOW 1000 CAL.5,5",0.,0.,"1,400.00","1,400.00",352.65,71.03232,PCS,TRUE,GUNS,AIR RIFLES,Recipe,793676006635,GAMO,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,352.65,Break Barrel,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
1-111,61100105513,بندقية جامو أسباني ماكسيما  5.5,0.00,GAMO MAXIMA 5.5 CAL,68.,68.,"1,850.00","1,850.00",588.46,63.42005,PCS,FALSE,GUNS,AIR RIFLES,Recipe,793676052793,GAMO,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,FALSE,588.46,Break Barrel,68.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:28:26,30485,0.,0.,FALSE,TRUE
11-125,31111000000061,كشاف,0.00,2250 VERSABRITE F/LIGHT,0.,0.,40.00,40.00,0.00,0.,PCS,TRUE,ELECTRIC,LIGHTING, ,11125,AL RIMAYA,PRODUCT,TRANSFER,INV,Electric,Lighting,CARS LAMPS,TRUE,0.00,Cars Lamps,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
1-113,31101000000083,بندقية تركى موديل 135 5.5,0.00,AIRRIFLE MOD 135 CAL 5.5,1.,1.,495.00,495.00,426.32,0.95596,PCS,FALSE,GUNS,AIR RIFLES,Recipe,817461010338,HATSAN,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,426.32,Break Barrel,1.,VAT,13/3/2019,ZAIDG\RITD013,19/05/26 14:17:47,25275,0.,0.,FALSE,TRUE
1-114,31101000000084,بندقية تركى موديل 6.35,0.00,AIRRIFLE MOD 135 CAL 6.35,0.,0.,520.00,520.00,448.20,0.87885,PCS,TRUE,GUNS,AIR RIFLES, ,817461010345,HATSAN,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,448.20,Break Barrel,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
11-14,31111000000006,كشاف,0.00,LIGHT,0.,0.,60.00,60.00,0.00,0.,PCS,TRUE,ELECTRIC,LIGHTING, ,3111100000006,AL RIMAYA,PRODUCT,TRANSFER,INV,Electric,Lighting,CARS LAMPS,TRUE,0.00,Cars Lamps,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
1-117,31101000000087,بندقية Hatsan موديل 55,0.00,AIRRIFLE MOD 55S TR CAL 4.5,0.,0.,670.00,670.00,0.00,0.,PCS,TRUE,GUNS,AIR RIFLES, ,817461016491,HATSAN,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,0.00,Break Barrel,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
1-118,31101000000088,بندقية تركى موديل 85 /4.5,0.00,AIRRIFLE MOD 85 CAL 4.5,0.,0.,635.00,635.00,0.00,0.,PCS,TRUE,GUNS,AIR RIFLES, ,817461011045,HATSAN,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,0.00,Break Barrel,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
1-119,31101000000089,بندقية تركى,0.00,AIRRIFLE MOD 88 CAL 4.5,0.,0.,575.00,575.00,0.00,0.,PCS,TRUE,GUNS,AIR RIFLES, ,817461016507,HATSAN,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,0.00,Break Barrel,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
1-120,31101000000090,بندقية تركى موديل 95 / 4.5,0.00,AIRRIFLE MOD 95 CAL 4.5,0.,0.,910.00,910.00,0.00,0.,PCS,TRUE,GUNS,AIR RIFLES, ,817461010079,HATSAN,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,0.00,Break Barrel,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
1-122,31101000000092,بندقية تركى ستريكر,0.00,AIRRIFLE MOD STRIKER 1000S CAL 4.5,0.,0.,710.00,710.00,0.00,0.,PCS,TRUE,GUNS,AIR RIFLES, ,817461010000,HATSAN,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,0.00,Break Barrel,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
11-222,31111000000131,سلك ولاعة شاحن,0.00,12119 12DC CIG LIGHTER,0.,0.,52.00,52.00,29.03,35.79904,PCS,TRUE,ELECTRIC,POWER, ,11222,AL RIMAYA,PRODUCT,TRANSFER,INV,Electric,Power,BATTERIES,TRUE,29.03,Batteries,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
11-224,31111000000133,كشاف إنوفا   اكس 5,0.00,X5MT-WT,5.,5.,37.00,37.00,84.73,-163.35,PCS,FALSE,ELECTRIC,LIGHTING, ,671192550019,NITEIZE,PRODUCT,TRANSFER,INV,Electric,Lighting,CARS LAMPS,TRUE,84.73,Cars Lamps,5.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:29:11,30485,0.,0.,FALSE,TRUE
1-123,31101000000093,بندقية جامو سوكوم 1000  4.5,0.00,"SOCOM 1000 CAL.4,5",0.,0.,"1,015.00","1,015.00",0.00,0.,PCS,TRUE,GUNS,AIR RIFLES, ,793676029580,GAMO,PRODUCT,TRANSFER,INV,Guns,Air Rifles,BREAK BARR,TRUE,0.00,Break Barrel,0.,VAT,13/3/2019,ZAIDG\RITD013,03/12/25 09:52:52,35762,0.,0.,FALSE,TRUE
